t_months,nn_output_unit_interval,true_sin4,period_months,phi_rad,phi_over_pi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.002502085070892293e-02,9.776063848239220644e-02,3.868115453894973784e-11,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.005004170141784586e-02,1.823525555202699377e-01,6.188907742711028775e-10,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.007506255212677226e-02,1.498911824916287702e-02,3.133069590871227826e-09,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.201000834028356917e-01,0.000000000000000000e+00,9.901759707592772988e-09,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.501251042535446112e-01,0.000000000000000000e+00,2.417331594607482427e-08,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.801501251042535445e-01,3.345804331765813572e-02,5.012350177409696092e-08,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.101751459549624501e-01,0.000000000000000000e+00,9.285496985650219330e-08,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.402001668056713835e-01,0.000000000000000000e+00,1.583966272835635581e-07,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.702251876563803168e-01,0.000000000000000000e+00,2.537028855431203698e-07,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.002502085070892224e-01,0.000000000000000000e+00,3.866527953148523231e-07,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.302752293577981280e-01,0.000000000000000000e+00,5.660490661770985649e-07,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.603002502085070891e-01,4.083106923415393691e-02,8.016169713286511374e-07,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.903252710592159946e-01,0.000000000000000000e+00,1.104003137439967743e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.203502919099249002e-01,0.000000000000000000e+00,1.484774219760262606e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.503753127606338613e-01,0.000000000000000000e+00,1.956415462618918499e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.804003336113427669e-01,2.755056665003577029e-02,2.532329145471618668e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.104253544620517280e-01,0.000000000000000000e+00,3.226832914653636617e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.404503753127606336e-01,4.520697578247042867e-03,4.055158001014552189e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.704753961634695392e-01,0.000000000000000000e+00,5.033447323620690273e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.005004170141784448e-01,0.000000000000000000e+00,6.178753479723461371e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.305254378648873503e-01,0.000000000000000000e+00,7.509036621203624374e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.605504587155962559e-01,0.000000000000000000e+00,9.043162217713425076e-06,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.905754795663052725e-01,3.972365342653746273e-02,1.080089870675042838e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.206005004170141781e-01,6.016390993394760828e-02,1.280291503090851690e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.506255212677230837e-01,1.581483309619291233e-01,1.507077806256362168e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.806505421184319893e-01,2.544679977221460387e-02,1.762694991626324341e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.106755629691408949e-01,1.408979407138391537e-01,2.049478514910065639e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.407005838198498004e-01,1.866955054219445465e-01,2.369852784936654069e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.707256046705588171e-01,1.380878790663227218e-01,2.726330861378233248e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.007506255212677226e-01,2.219905653491198172e-01,3.121514141363101384e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.307756463719766282e-01,2.060925929144561963e-01,3.558092035011350458e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.608006672226855338e-01,0.000000000000000000e+00,4.038841629926932873e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.908256880733944394e-01,0.000000000000000000e+00,4.566627344681236620e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.020850708924103456e+00,0.000000000000000000e+00,5.144400571324438912e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.050875729774812362e+00,0.000000000000000000e+00,5.775199306961949415e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.080900750625521267e+00,4.168337577891657181e-02,6.462147774434536256e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.110925771476230173e+00,4.942917889763717015e-02,7.208456032141738023e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.140950792326939078e+00,4.810127809303574309e-02,8.017419573049373816e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.170975813177647984e+00,2.383583188433065214e-01,8.892418912923105245e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.201000834028356890e+00,2.175887852760117203e-01,9.836919167831120975e-05,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.231025854879065795e+00,0.000000000000000000e+00,1.085446962096002748e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.261050875729774701e+00,0.000000000000000000e+00,1.194870327878942966e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.291075896580483606e+00,1.227846324785459436e-01,1.312333641667145199e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.321100917431192512e+00,1.357851993277398028e-01,1.438216811386278994e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.351125938281901639e+00,3.153973485095403623e-02,1.572907977805801025e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.381150959132610545e+00,7.905374109266453952e-02,1.716803465947365362e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.411175979983319451e+00,0.000000000000000000e+00,1.870307735453420150e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.441201000834028356e+00,0.000000000000000000e+00,2.033833329921163171e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.471226021684737262e+00,0.000000000000000000e+00,2.207800825207166431e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.501251042535446167e+00,2.722323425775923997e-02,2.392638776708079138e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.531276063386155073e+00,0.000000000000000000e+00,2.588783665622929270e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.561301084236863979e+00,2.214867898640362695e-02,2.796679844202621485e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.591326105087572884e+00,0.000000000000000000e+00,3.016779479992416396e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.621351125938281790e+00,0.000000000000000000e+00,3.249542499073157270e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.651376146788990695e+00,0.000000000000000000e+00,3.495436528307242232e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.681401167639699601e+00,0.000000000000000000e+00,3.754936836595343841e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.711426188490408506e+00,9.374610497273513920e-02,4.028526275150082019e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.741451209341117634e+00,2.201453472577021286e-01,4.316695216792814553e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.771476230191826540e+00,3.415588612450074502e-01,4.619941494280004860e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.801501251042535445e+00,4.426027176343032554e-01,4.938770337665539939e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.831526271893244351e+00,4.053698510376599895e-01,5.273694310705596446e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.861551292743953256e+00,2.387391327191069890e-01,5.625233246312724873e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.891576313594662162e+00,3.226939236806345979e-01,5.993914181065864702e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.921601334445371068e+00,2.124599740774437140e-01,6.380271288783209878e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.951626355296079973e+00,2.296534662481478362e-01,6.784845813164843472e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.981651376146788879e+00,4.749310119188228374e-02,7.208185999512186108e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.011676396997498006e+00,1.255440558001635065e-01,7.650847025531475705e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.041701417848206912e+00,9.966255360379480677e-02,8.113390931228432095e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.071726438698915818e+00,2.273799455790874724e-01,8.596386547901546313e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.101751459549624723e+00,1.718456840713379341e-01,9.100409426241405078e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.131776480400333629e+00,5.236919684499662803e-02,9.626041763543505443e-04,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.161801501251042534e+00,2.191553164368108819e-01,1.017387233004234635e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.191826522101751440e+00,3.677960058968289259e-01,1.074449639437435834e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.221851542952460346e+00,1.571171295931535483e-01,1.133851564817762395e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.251876563803169251e+00,1.372817806004676122e-01,1.195653812983617139e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.281901584653878157e+00,2.287392439358155727e-01,1.259917814737691530e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.311926605504587062e+00,2.774130713415045579e-01,1.326705620052731670e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.341951626355295968e+00,3.330295338600909316e-01,1.396079890194195641e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.371976647206004873e+00,3.921894612252648654e-02,1.468103889760615562e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.402001668056713779e+00,2.354912148106286587e-02,1.542841478642522626e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.432026688907422685e+00,0.000000000000000000e+00,1.620357103900755408e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.462051709758131590e+00,0.000000000000000000e+00,1.700715791565017738e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.492076730608840496e+00,0.000000000000000000e+00,1.783983138353545037e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.522101751459549401e+00,0.000000000000000000e+00,1.870225303314740394e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.552126772310258307e+00,0.000000000000000000e+00,1.959508999391664473e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.582151793160967213e+00,0.000000000000000000e+00,2.051901484910269129e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.612176814011676118e+00,0.000000000000000000e+00,2.147470554992253824e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.642201834862385024e+00,1.016818973545829119e-01,2.246284532893463165e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.672226855713093929e+00,0.000000000000000000e+00,2.348412261268716539e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.702251876563803279e+00,5.975400776796821467e-02,2.453923093364015953e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.732276897414512185e+00,1.829629433763718394e-01,2.562886884137014366e-03,7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00
