injected_period_months,phi_rad,bestfit_period_months,max_ls_power,global_pvalue_conditional,n_null_toys
1.123324032978027381e-01,2.052728374217000162e+00,3.764935806792467332e+01,2.721879222769878481e-01,2.288557213930348389e-01,2.000000000000000000e+02
1.123324032978027381e-01,2.420014265287000033e+00,1.176811952434997899e+01,2.604702764344012794e-02,7.412935323383084141e-01,2.000000000000000000e+02
1.123324032978027381e-01,2.512798025970000015e+00,1.668100537200059108e+01,2.509262949106656759e-02,9.154228855721393554e-01,2.000000000000000000e+02
1.123324032978027381e-01,2.538681563927999818e+00,3.351602650938841066e+01,8.929326564952991263e-02,9.950248756218905977e-02,2.000000000000000000e+02
1.123324032978027381e-01,2.631502027943000144e+00,1.000000000000000000e+04,1.651593992906513486e-01,8.955223880597014408e-02,2.000000000000000000e+02
1.123324032978027381e-01,2.635677408799999899e+00,2.983647240283340452e+01,2.919985337053838254e-02,8.606965174129352913e-01,2.000000000000000000e+02
1.123324032978027381e-01,2.838983169807999918e+00,2.364489412645407285e+01,8.161959749239368345e-02,1.044776119402985037e-01,2.000000000000000000e+02
1.123324032978027381e-01,2.912014714116000214e+00,6.579332246575678944e+00,1.645472330136364333e-02,5.870646766169154152e-01,2.000000000000000000e+02
1.123324032978027381e-01,3.020432623406000161e+00,1.176811952434997899e+01,1.396715280591477870e-01,4.179104477611940149e-01,2.000000000000000000e+02
1.261856883066020396e-01,0.000000000000000000e+00,6.734150657750821267e+01,1.453914621888515446e-01,6.019900497512438164e-01,2.000000000000000000e+02
1.261856883066020396e-01,9.577788161520000010e-01,1.000000000000000000e+04,1.523248033267123047e-01,6.616915422885571996e-01,2.000000000000000000e+02
1.261856883066020396e-01,1.103696963161999944e+00,2.104904144512019570e+01,3.942143244026221488e-02,7.810945273631840768e-01,2.000000000000000000e+02
1.261856883066020396e-01,1.117018429158999959e+00,6.734150657750821267e+01,9.568154938164559475e-02,4.477611940298507204e-02,2.000000000000000000e+02
1.261856883066020396e-01,1.310960399647999930e+00,1.668100537200059108e+01,8.310709283836718864e-02,9.502487562189054771e-01,2.000000000000000000e+02
1.261856883066020396e-01,1.513298605096000005e+00,4.229242874389498752e+01,2.364996638835318299e-01,2.089552238805970075e-01,2.000000000000000000e+02
1.261856883066020396e-01,1.570796326795000031e+00,3.764935806792467332e+01,6.510098721990614790e-02,9.203980099502487855e-01,2.000000000000000000e+02
1.261856883066020396e-01,1.687631551731000101e+00,1.873817422860383175e+01,6.522830316348164625e-02,7.661691542288556755e-01,2.000000000000000000e+02
1.261856883066020396e-01,1.737337002562999944e+00,1.000000000000000000e+04,1.793933258541530532e-02,8.955223880597015240e-01,2.000000000000000000e+02
1.261856883066020396e-01,1.892154948508000034e+00,2.364489412645407285e+01,1.052433062343317016e-01,4.179104477611940149e-01,2.000000000000000000e+02
1.261856883066020396e-01,1.952756727841000073e+00,5.336699231206306848e+01,5.053984913059190315e-02,7.462686567164178442e-02,2.000000000000000000e+02
1.261856883066020396e-01,2.052728374217000162e+00,3.764935806792467332e+01,4.203111343070117106e-02,8.706467661691542625e-01,2.000000000000000000e+02
1.261856883066020396e-01,2.420014265287000033e+00,3.764935806792467332e+01,6.140932711900059376e-02,3.482587064676617022e-02,2.000000000000000000e+02
1.261856883066020396e-01,2.512798025970000015e+00,2.983647240283340452e+01,3.590733790749817134e-02,5.621890547263681537e-01,2.000000000000000000e+02
1.261856883066020396e-01,2.538681563927999818e+00,3.351602650938841066e+01,1.874032820888948958e-01,3.084577114427860534e-01,2.000000000000000000e+02
1.261856883066020396e-01,2.631502027943000144e+00,4.229242874389498752e+01,1.084032858363920687e-01,9.950248756218905283e-03,2.000000000000000000e+02
1.261856883066020396e-01,2.635677408799999899e+00,4.229242874389498752e+01,1.384061112604833554e-01,5.920398009950248452e-01,2.000000000000000000e+02
1.261856883066020396e-01,2.838983169807999918e+00,2.656087782946686815e+01,4.085180055250640929e-02,9.900497512437811398e-01,2.000000000000000000e+02
1.261856883066020396e-01,2.912014714116000214e+00,7.390722033525778834e+00,1.502635393661824401e-02,7.064676616915422924e-01,2.000000000000000000e+02
1.261856883066020396e-01,3.020432623406000161e+00,1.873817422860383175e+01,1.414330824320692293e-01,3.681592039800994920e-01,2.000000000000000000e+02
1.417474162926805059e-01,0.000000000000000000e+00,1.047615752789665144e+01,2.627579310908483012e-02,6.119402985074626766e-01,2.000000000000000000e+02
1.417474162926805059e-01,9.577788161520000010e-01,1.484968262254465010e+01,3.475478900564114848e-02,7.462686567164179552e-01,2.000000000000000000e+02
1.417474162926805059e-01,1.103696963161999944e+00,9.326033468832198636e+00,3.217771492457387889e-02,1.691542288557214002e-01,2.000000000000000000e+02
