T_months,ratio_phi_0.000000pi,ratio_phi_0.304870pi,ratio_phi_0.351318pi,ratio_phi_0.355558pi,ratio_phi_0.417292pi,ratio_phi_0.481698pi,ratio_phi_0.500000pi,ratio_phi_0.537190pi,ratio_phi_0.553012pi,ratio_phi_0.602292pi,ratio_phi_0.621582pi,ratio_phi_0.653404pi,ratio_phi_0.770314pi,ratio_phi_0.799848pi,ratio_phi_0.808087pi,ratio_phi_0.837633pi,ratio_phi_0.838962pi,ratio_phi_0.903676pi,ratio_phi_0.926923pi,ratio_phi_0.961434pi,ratio_phi_avg,time_independent
5.214008287999684299e+00,8.512386168648450324e-01,8.301638947413191305e-01,8.328814489810663080e-01,8.345253341749532261e-01,8.174421881908459087e-01,8.538884250840335088e-01,8.468299956006063445e-01,8.271606261021162698e-01,8.341815082421782934e-01,8.294671543501517252e-01,8.449842831582635716e-01,8.318415405628180048e-01,8.363622835363702102e-01,8.183952093645442405e-01,8.248030666668854094e-01,8.109698452871696439e-01,8.637240600076935282e-01,8.258270649746388692e-01,8.466412738356061674e-01,8.357503966199133494e-01,8.348539108173010925e-01,1.000000000000000000e+00
5.857020818056667189e+00,8.598813230009262343e-01,8.540763218846413318e-01,8.532671089641051809e-01,8.519076101261966460e-01,8.451401504882525284e-01,8.557558452149771622e-01,8.628853677023450297e-01,8.475844952620457118e-01,8.407521778308728599e-01,8.074174975551416944e-01,8.367280501346927579e-01,8.289292731288540050e-01,8.148904336560897077e-01,8.186891047822092427e-01,8.108913806267891156e-01,8.345269392069462056e-01,8.353794295556319360e-01,8.469408244934434338e-01,8.273601553121987529e-01,8.169039136916879107e-01,8.374953701309022502e-01,1.000000000000000000e+00
6.579332246575678944e+00,8.057984232912738243e-01,8.331370598764945568e-01,8.446407659633691223e-01,8.355118646393869808e-01,8.206622836266265208e-01,8.185641475676660450e-01,8.164791077672994835e-01,8.499695094677217622e-01,8.437891268980761694e-01,8.148341109586835218e-01,8.517362487922959247e-01,8.115604285152555608e-01,8.382166458448336854e-01,8.364278569966103749e-01,8.247191683070960178e-01,8.301079565540000482e-01,8.289491558435101437e-01,8.524165889924970596e-01,8.358414573978385498e-01,8.423032011452560308e-01,8.317832554222895913e-01,1.000000000000000000e+00
7.390722033525778834e+00,8.591394912256979932e-01,8.544645259352219302e-01,8.521177283433184479e-01,8.468205680892463283e-01,8.142040002046103675e-01,8.409237257642684371e-01,8.164866507732273515e-01,8.134204195925016645e-01,8.466780285588241250e-01,8.225008242463837105e-01,8.337453324465531335e-01,8.252125512950585495e-01,8.271751142073681118e-01,8.177236335277867640e-01,8.464006276287829866e-01,8.304584639568743931e-01,8.513415193864808383e-01,8.591968078435348044e-01,8.338834795520753129e-01,8.431842996567752158e-01,8.367538896117295844e-01,1.000000000000000000e+00
8.302175681319743816e+00,8.600390822708533500e-01,8.300929047110867653e-01,8.376272908881416956e-01,8.337504701354011560e-01,8.493684784124889697e-01,8.143189730216351396e-01,8.306742112465321792e-01,8.326096593997209805e-01,8.265759719730785271e-01,8.317311289276386743e-01,8.307081024493166987e-01,8.239484669913282877e-01,8.150211921334549192e-01,8.217827987326863370e-01,8.220407633078631315e-01,8.053374852943590012e-01,8.438691309256609596e-01,8.270219941741464575e-01,8.153047125143090268e-01,8.394094555564569626e-01,8.295616136533079388e-01,1.000000000000000000e+00
9.326033468832198636e+00,8.451142382969490940e-01,8.102739247097591191e-01,8.209917781446461893e-01,8.339155694361297666e-01,8.127052278748519987e-01,8.272274435856675767e-01,8.316006343146578050e-01,8.290856013560690130e-01,8.253194367491536454e-01,8.011975828474862116e-01,8.089562154663483273e-01,8.041855302384254278e-01,8.056124370944692803e-01,8.329610638150092283e-01,8.348522024910201011e-01,8.271119407018748815e-01,8.245491172081196307e-01,8.388130881205954070e-01,8.257326685240108377e-01,8.200795149352688718e-01,8.230142607955256429e-01,1.000000000000000000e+00
1.047615752789665144e+01,8.414122658021943035e-01,8.360036671829292887e-01,8.157916018564297378e-01,8.333326411822484792e-01,8.152983327104941225e-01,8.261643128823804583e-01,8.091979675626790325e-01,8.362856521883206273e-01,8.190631101825680549e-01,8.013140197120928176e-01,8.166836911265648036e-01,8.215743400136609198e-01,8.053767865510408352e-01,8.268556879671596915e-01,8.304170820484187976e-01,8.235670069732355936e-01,8.279859927231723038e-01,8.542340647632870043e-01,8.663605962954220585e-01,8.378002440333900402e-01,8.272359531878843431e-01,1.000000000000000000e+00
1.176811952434997899e+01,8.197914618039862100e-01,8.333062327554628945e-01,8.268820598800925570e-01,8.182830094436305268e-01,8.389525370381348823e-01,8.278513313673635521e-01,8.178770244549565804e-01,8.142376957648849167e-01,8.190564807639967304e-01,8.270301572985964134e-01,8.322115662322339125e-01,8.247707766449389188e-01,8.516189600288703865e-01,8.344403101083937013e-01,8.176213303767260188e-01,8.253047716937362832e-01,8.133669262730426341e-01,8.330604013859590484e-01,8.243529475079421909e-01,8.244876137616561351e-01,8.262251797292300415e-01,1.000000000000000000e+00
1.321941148466028793e+01,8.256887103999343003e-01,8.529616242876937315e-01,8.604247997709896234e-01,8.574048674533858438e-01,8.327746303350742618e-01,8.225839791263834799e-01,8.425943409859151245e-01,8.266183337069965553e-01,8.434051802857647218e-01,8.239912746064953497e-01,8.298356867224119249e-01,8.201850656448944621e-01,7.920834619183571013e-01,8.115405229517607122e-01,8.199720262691967410e-01,8.257850956301088230e-01,7.915175578996906935e-01,8.350955084423504760e-01,8.253925763815407324e-01,8.133383028128219339e-01,8.276596772815884018e-01,1.000000000000000000e+00
1.484968262254465010e+01,8.428619419491506504e-01,8.393048172596306866e-01,8.449642809205893945e-01,8.261584741978255098e-01,8.157661682611475618e-01,8.139357782106021455e-01,8.290941134924598721e-01,8.211786909050282635e-01,8.225098700371276106e-01,8.141565323172590407e-01,8.274320566667483501e-01,8.032260667311822422e-01,8.097702048303663247e-01,8.127064212187702363e-01,8.310499706287313160e-01,8.245664521657276591e-01,8.322936471778278333e-01,8.225150312425862920e-01,8.656697048680150886e-01,8.186343093023956685e-01,8.258897266191584929e-01,1.000000000000000000e+00
1.668100537200059108e+01,8.282505736277964159e-01,8.539424885120102671e-01,8.417425193231349301e-01,8.435544031551602817e-01,8.213989984071718986e-01,8.156524855427295106e-01,8.427065682467494989e-01,8.461270859962467528e-01,8.301612218197074178e-01,8.106211786565943322e-01,8.222054008301401540e-01,8.141366767882574074e-01,8.315360796928193965e-01,8.038503622859958231e-01,8.029019811694381170e-01,7.953814682110622591e-01,8.173759916708682738e-01,8.176975758292226448e-01,8.176310031655088517e-01,7.959927498417794789e-01,8.226433406386197689e-01,1.000000000000000000e+00
1.873817422860383175e+01,8.136594524345985846e-01,8.297255625116572997e-01,8.310638138936595753e-01,8.143139335992063410e-01,7.961847107342651109e-01,8.240774444344822758e-01,8.160411871718024068e-01,7.752151886156235516e-01,8.050894925555144299e-01,8.090961468155921654e-01,8.047219111896112276e-01,8.341569678872589044e-01,8.473389452005016809e-01,8.272629005465551577e-01,8.146247520529428243e-01,8.260804802042469586e-01,8.126197129064826052e-01,8.305180324852867724e-01,8.239878108791395261e-01,8.359938064633848365e-01,8.185886126290906617e-01,1.000000000000000000e+00
2.104904144512019570e+01,8.158954710337494864e-01,8.648630610479762781e-01,8.524809264196101521e-01,8.526608983555430399e-01,8.488755560577806447e-01,8.388958727945861060e-01,8.500659314162158919e-01,8.217290341420026012e-01,8.486799109282860964e-01,7.844740175708395657e-01,7.918124370038472915e-01,8.140592834085752516e-01,8.002244229666186648e-01,7.946619783086452671e-01,7.765620232425795022e-01,7.679399217650074716e-01,7.627726719981796633e-01,8.123809893114973812e-01,8.262040757957894721e-01,8.030111920107777523e-01,8.164124837789052958e-01,1.000000000000000000e+00
2.364489412645407285e+01,8.238649790308701926e-01,8.287759039491326973e-01,8.069090418839273138e-01,8.160530391278819629e-01,8.576366458161622797e-01,8.565197230741010692e-01,8.272582692964043360e-01,8.328204468499501578e-01,8.242691490056108794e-01,8.479518735420239484e-01,8.276982097487739498e-01,8.021376281668498587e-01,8.130767925684223574e-01,8.268734831167791066e-01,7.972580393870614124e-01,8.078463017468197060e-01,8.021766445004265833e-01,7.744063542655396093e-01,8.252221388804846791e-01,8.317769571372843895e-01,8.215265810547253134e-01,1.000000000000000000e+00
2.656087782946686815e+01,8.159876665787287875e-01,8.245847760060212028e-01,8.372403197425564159e-01,8.325591133232029817e-01,8.238074156419290528e-01,8.318045162415392824e-01,8.000167961317986576e-01,8.198066912929385941e-01,7.819644644737790973e-01,8.307324863879987920e-01,8.323263019395236162e-01,8.150150091587158308e-01,7.942678547731917282e-01,8.147517159926711550e-01,8.278303426710639235e-01,8.329717501975771876e-01,7.986354400712472046e-01,8.205539181373968649e-01,8.375882671744353525e-01,8.307965511574894046e-01,8.201620698546904231e-01,1.000000000000000000e+00
2.983647240283340452e+01,8.107566838597439762e-01,8.714551849742609990e-01,8.555180829995940872e-01,8.616082822016333242e-01,8.484876508460369449e-01,8.235952659447057789e-01,8.343874161952502533e-01,8.228156216646425047e-01,8.333976400399245588e-01,8.029823818516804712e-01,7.987206072640977705e-01,7.688441630917483005e-01,7.954224168408530193e-01,8.059279367419261986e-01,7.523290062732282957e-01,7.896396041086627404e-01,8.035297092066531199e-01,7.805088563537204704e-01,7.807238995181263741e-01,7.800497765939508055e-01,8.110350093285220163e-01,1.000000000000000000e+00
